ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title
63035_at	0.734	0.566	0.578	-6.62666	0.00691	BCORL1	BCL6 corepressor-like 1	BCORL1	BCL6 corepressor-like 1
286554_at	0.552	0.372	0.901	-6.38885	0.00884	BCORP1	BCL6 corepressor pseudogene 1	BCORP1	BCL6 corepressor pseudogene 1
613_at	0.546	0.366	-0.913	-6.37809	-0.278	BCR	BCR, RhoGEF and GTPase activating protein	BCR	BCR, RhoGEF and GTPase activating protein
617_at	0.182	0.0794	1.79	-5.22577	0.28	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
622_at	1	0.919	-0.102	-6.78955	-0.0267	BDH1	3-hydroxybutyrate dehydrogenase, type 1	BDH1	3-hydroxybutyrate dehydrogenase, type 1
56898_at	1.23e-07	2.13e-09	7.44	11.36731	0.824	BDH2	3-hydroxybutyrate dehydrogenase, type 2	BDH2	3-hydroxybutyrate dehydrogenase, type 2
623_at	0.485	0.297	1.06	-6.23883	0.3	BDKRB1	bradykinin receptor B1	BDKRB1	bradykinin receptor B1
624_at	0.0405	0.0125	2.6	-3.61216	0.509	BDKRB2	bradykinin receptor B2	BDKRB2	bradykinin receptor B2
627_at	0.821	0.664	0.437	-6.69872	0.0552	BDNF	brain derived neurotrophic factor	BDNF	brain derived neurotrophic factor
55814_at	0.0978	0.0366	2.15	-4.56662	0.209	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB
146227_at	0.958	0.838	-0.206	-6.77338	-0.00962	BEAN1	brain expressed, associated with NEDD4, 1	BEAN1	brain expressed, associated with NEDD4, 1
8678_at	1	0.964	-0.0454	-6.79381	-0.00359	BECN1	beclin 1	BECN1	beclin 1
57596_at	0.144	0.0589	1.94	-4.97522	0.116	BEGAIN	brain enriched guanylate kinase associated	BEGAIN	brain enriched guanylate kinase associated
139105_at	0.342	0.182	-1.35	-5.88803	-0.0436	BEND2	BEN domain containing 2	BEND2	BEN domain containing 2
57673_at	0.218	0.0999	-1.68	-5.41429	-0.386	BEND3	BEN domain containing 3	BEND3	BEN domain containing 3
389206_at	1	0.917	-0.105	-6.78928	-0.000223	BEND4	BEN domain containing 4	BEND4	BEN domain containing 4
