Updated.gene.symbol	logFC	P.Value
CTSB	-0.992	1.65e-05
CTSC	-0.937	0.000726
CTSD	-0.848	0.00651
CTSE	0.0335	0.265
CTSF	0.935	0.000173
CTSG	2.74	9.42e-07
CTSH	-0.401	0.187
CTSK	-0.483	0.155
CTSL	-1.14	0.000561
CTSO	0.643	0.0123
CTSS	-0.532	0.145
CTSV	-2.66	2.63e-09
CTSW	0.238	0.493
CTSZ	-1.27	0.000373
CTTN	-0.666	0.0347
CTTNBP2	2.92	8.89e-12
CTTNBP2NL	0.274	0.216
CTU2	0.0012	0.991
CTXN1	-0.041	0.3
CTXN3	0.0426	0.345
CUBN	0.0177	0.481
CUEDC1	-0.0471	0.751
CUEDC2	0.149	0.361
CUL1	-0.0252	0.809
CUL2	-0.267	0.0537
CUL3	0.655	5.28e-08
CUL4A	0.0889	0.456
CUL4B	-0.223	0.4
CUL5	0.559	1.85e-05
CUL7	-0.345	0.000858
CUL9	-0.0226	0.625
CUTA	-0.133	0.323
CUTC	0.8	0.00105
CUX1	-0.301	0.0768
CUX2	0	1
CUZD1	-0.0661	0.703
CWC15	0.512	7.28e-07
SENP5	0.281	0.0216
CWC25	-0.0527	0.716
CWC27	0.00445	0.971
CWF19L1	-0.523	0.000447
CWF19L2	0.406	0.0162
CWH43	2.51	0.000124
CX3CL1	1.06	3.09e-05
CX3CR1	2.78	1.26e-08
CXADR	0.335	0.3
CXCL1	-2.21	0.00782
CXCL10	-3.57	1.82e-05
CXCL11	-4.27	1.87e-06
CXCL12	2.53	1.61e-06
CXCL13	-5.26	2.57e-07
CXCL14	0.166	0.604
CXCL16	-0.833	0.033
CXCL17	3.14	3.23e-05
CXCL2	-0.15	0.813
CXCL3	-2.35	0.000103
CXCL5	-3.08	7.34e-05
CXCL6	-3.29	1.42e-05
CXCL8	-4.17	5.78e-06
CXCL9	-2.58	0.00467
CXCR1	-0.0855	0.412
CXCR2	2.28	2.92e-07
CXCR3	0.0536	0.551
CXCR4	-0.56	0.276
CXCR5	-0.000103	0.967
CXCR6	0.164	0.653
CXXC1	-0.2	0.229
CXXC4	0.0224	0.154
CXXC5	0.511	0.0521
CXorf21	-0.0512	0.902
CXorf23	0.27	0.171
CXorf36	0.143	0.0826
CXorf38	-0.583	0.0168
CXorf57	-1.21	0.00262
CXorf58	-0.00272	0.321
CXorf65	-0.063	0.593
CXorf67	-0.137	0.309
CYB561	0.0111	0.955
KIF26B	-0.628	0.00195
CYB561D2	-0.111	0.209
CYB5A	1.34	3.05e-09
CYB5B	-0.374	0.0128
CYB5D1	0.299	0.1
CYB5D2	0.762	1.98e-05
CYB5R1	-0.273	0.214
CYB5R2	-0.943	0.00156
CYB5R3	-0.00991	0.956
CYB5R4	-0.664	0.000135
CYB5RL	-0.0345	0.33
CYBA	-0.725	0.096
CYBB	-0.779	0.076
CYBRD1	1.68	9.62e-08
CYC1	-0.09	0.717
CYCS	0.849	0.00201
CYFIP1	-0.0186	0.844
CYFIP2	0.28	0.361
CYGB	0.264	0.0666
CYHR1	0.222	0.256
CYLC1	0.0011	0.648
CYLC2	0	1
CYLD	0.173	0.176
CYMP	0.000127	0.952
CYP11A1	0.127	0.311
CYP11B1	0	1
CYP11B2	-0.00478	0.808
CYP17A1	-0.0454	0.31
CYP19A1	0.59	0.153
CYP1A1	0.425	0.112
CYP1A2	0.000759	0.737
CYP1B1	1.49	0.00767
CYP20A1	0.0937	0.365
CYP21A2	0.0425	0.28
CYP24A1	-1.25	0.0667
CYP26A1	-0.417	0.256
CYP26B1	0.0446	0.825
CYP27A1	0.512	0.00751
CYP27B1	-3	2.5e-08
CYP27C1	-3.26	3.86e-11
CYP2A13	0.0795	0.348
CYP2A6	-0.0278	0.0246
CYP2A7	0	1
CYP2B6	0	1
CYP2B7P	-0.0141	0.161
CYP2C18	3.91	2.2e-09
CYP2C19	0.0181	0.394
CYP2C8	0.00387	0.39
CYP2C9	1.25	0.000867
CYP2E1	1.84	1.36e-07
CYP2J2	1.84	0.000138
CYP2R1	1.1	0.00221
CYP2S1	0.0804	0.841
CYP2U1	0.976	1.07e-07
CYP2W1	0.132	0.0409
CYP39A1	-0.345	0.352
CYP3A4	0.147	0.0308
CYP3A43	0	1
CYP3A5	4.62	5.15e-12
CYP3A7	0.0201	0.222
CYP46A1	0.012	0.783
CYP4A11	-0.0313	0.442
CYP4B1	2.89	2.9e-10
CYP4F11	-0.635	0.144
CYP4F12	3.36	1.34e-11
CYP4F2	-0.023	0.669
CYP4F22	0.963	0.0233
CYP4F8	0.0125	0.269
CYP4V2	1.31	1.63e-05
CYP4X1	3.61	2.14e-08
CYP4Z1	-0.0131	0.801
CYP4Z2P	-0.00822	0.327
CYP51A1	0.069	0.738
CYP7A1	0	1
CYP7B1	1.22	6.44e-05
CYP8B1	0	1
CYR61	0.269	0.539
CYSLTR1	2.16	4.77e-09
CYSLTR2	0.0105	0.61
CYSTM1	0.338	0.144
CYTH1	0.0789	0.347
CYTH2	0.057	0.57
CYTH3	-0.135	0.0204
CYTH4	0.0769	0.562
CYTIP	-0.0674	0.872
CYTL1	1.69	0.000207
CYYR1	1.09	4.38e-05
D2HGDH	0.14	0.215
DAAM1	-0.32	0.0721
DAAM2	1.12	0.000638
DAB1	0	1
DAB2	0.647	0.032
DAB2IP	-0.371	0.00655
DACH1	0.181	0.0285
DACH2	0.0163	0.559
DACT1	-1.82	0.00119
DACT2	0.188	0.348
DACT3	0.208	0.208
DAD1	-0.254	0.0832
DAG1	0.211	0.0922
DAGLA	0.0322	0.331
DAGLB	-0.467	0.000109
DALRD3	0.591	0.00011
DAND5	0.00597	0.456
DAO	-0.002	0.49
DAOA	0.0304	0.291
DAP	-0.993	2.5e-06
DAP3	-0.217	0.0155
DAPK1	0.0273	0.863
DAPK2	0.336	0.0637
DAPK3	-1.05	4.41e-06
DAPL1	4.8	8.29e-09
DAPP1	0.249	0.329
DARS	-0.239	0.0355
DARS2	-1.08	8.27e-06
DAW1	0.00388	0.5
DAXX	-0.533	0.00174
DAZAP1	-0.331	0.000336
DAZAP2	-0.158	0.0956
DAZL	-0.00692	0.66
DBF4	-0.909	2.52e-06
DBF4B	0	1
DBH	0.0141	0.359
DBH-AS1	-0.0207	0.732
DBI	0.926	2.54e-12
DBN1	-0.539	0.0119
DBNDD1	0.465	0.00338
DBNL	-0.125	0.467
DBP	0.543	0.167
DBR1	-0.585	0.000473
DBT	-0.0155	0.917
DCAF1	0.0191	0.255
DCAF10	0.149	0.217
DCAF11	0.117	0.305
DCAF12	0.149	0.235
DCAF12L1	0.0163	0.334
DCAF13	-0.81	1.43e-05
DCAF15	-0.706	0.000245
DCAF16	0.00488	0.971
DCAF17	-0.562	0.00824
DCAF4	-0.629	0.00469
DCAF4L1	-0.00312	0.597
DCAF4L2	-0.000463	0.834
DCAF5	-0.0818	0.337
DCAF6	0.26	0.0868
DCAF7	-0.229	0.0341
DCAF8	0.29	0.0156
DCAKD	0.0157	0.702
DCANP1	0.132	0.225
DCBLD1	-3.46	1.17e-14
DCBLD2	-1.33	3.33e-05
DCC	0	1
DCD	0	1
DCDC2	-0.133	0.309
DCDC2B	0.0293	0.273
DCHS1	0.036	0.861
DCHS2	-0.000172	0.936
DCK	-0.0423	0.757
DCLK1	2.5	5.38e-09
DCLK2	0	1
DCLK3	-0.0131	0.585
DCLRE1A	-0.208	0.0538
DCLRE1B	-0.757	2.71e-05
DCLRE1C	0.192	0.239
DCN	0.674	0.0164
DCP1A	0.632	7.73e-07
DCP1B	0.46	0.0793
DCP2	0.0678	0.354
DCPS	-0.317	0.0899
DCST1	0.00103	0.835
DCST2	0.00137	0.905
DCSTAMP	-0.256	0.191
DCT	1.57	0.00233
DCTD	-0.108	0.406
DCTN1	-0.588	0.0133
DCTN2	0.223	0.0135
DCTN3	0.406	0.00441
DCTN4	-0.014	0.874
DCTN5	-0.464	0.00129
DCTN6	0.24	0.0431
DCTPP1	-0.503	0.00833
DCUN1D1	-1.02	0.00383
DCUN1D2	0.163	0.357
DCUN1D3	0.406	0.273
DCUN1D4	-0.313	0.0897
DCUN1D5	-0.931	0.00123
DCX	0.00198	0.501
DCXR	1.07	2.1e-07
DDA1	-0.868	0.000626
DDAH1	0.819	0.00103
DDAH2	1.53	1.32e-09
DDB1	-0.0712	0.56
DDB2	0.114	0.581
DDC	0	1
DDHD1	-0.7	0.000523
DDI1	-0.0272	0.389
DDIAS	-1.7	6.45e-06
DDIT3	-0.431	0.0926
DDIT4	-1.14	0.00293
DDIT4L	2.46	0.00383
DDN	-0.0726	0.731
DDO	0.00936	0.157
DDOST	-0.537	3.09e-05
DDR1	-0.633	0.000722
DDR2	0.511	0.12
DDRGK1	-0.257	0.0817
DDT	0.044	0.757
DDX1	0.0989	0.272
DDX10	-0.18	0.418
DDX11	-0.698	1.48e-05
DDX17	-0.0289	0.931
DDX18	-0.342	0.0168
DDX19A	-0.558	0.000568
DDX20	-0.351	0.0286
DDX21	-0.198	0.362
DDX23	-0.117	0.266
DDX24	-0.204	0.078
DDX25	-0.0918	0.542
DDX27	-0.423	0.0101
DDX28	-0.322	0.00718
DDX31	-0.0869	0.118
DDX39A	-1.13	7.66e-07
DDX39B	-0.235	0.145
DDX3X	-0.0129	0.947
DDX3Y	-0.159	0.777
DDX4	0.00463	0.364
DDX41	-0.173	0.129
DDX42	0.0472	0.609
DDX43	-0.311	0.313
DDX46	0.278	0.0128
DDX47	-0.348	0.018
DDX49	-0.19	0.169
DDX5	0.163	0.0978
DDX50	0.188	0.0977
DDX51	0.0208	0.852
DDX52	-0.239	0.238
DDX53	-0.149	0.317
DDX54	-0.069	0.256
DDX55	-0.641	0.000326
DDX56	-0.614	0.00567
DDX58	-1.82	3.49e-06
DDX59	0.119	0.133
DDX6	0.0335	0.691
DDX60	-1.77	2.36e-07
DDX60L	-1.41	6.71e-07
DEAF1	1	6.39e-06
DEC1	-9.36e-05	0.965
DECR1	0.213	0.17
DECR2	0.13	0.203
DEDD	-0.0713	0.565
DEDD2	-0.166	0.182
DEF6	-0.0199	0.917
DEF8	0.167	0.335
DEFA4	0	1
DEFA5	0	1
DEFA6	0.00114	0.611
DEFB1	2.37	0.00028
DEFB118	0.00322	0.572
DEFB119	0	1
DEFB121	0.000299	0.894
DEFB123	0	1
DEFB124	-0.384	0.185
DEFB125	0	1
DEFB126	-0.00113	0.983
DEFB127	0.00668	0.489
DEFB129	0	1
DEFB132	-0.248	0.316
DEGS1	0.0118	0.944
DEGS2	2.01	3.3e-05
DEK	-0.446	0.000513
DENND1A	-0.284	0.0087
DENND1B	0.0347	0.244
DENND1C	-0.0602	0.774
DENND2A	0.141	0.436
DENND2C	0.637	0.0249
DENND2D	1.01	1.89e-05
DENND3	-0.00926	0.855
DENND4A	0.0574	0.664
DENND4B	0.297	0.104
DENND4C	0.827	1.02e-07
DENND5A	0.0231	0.876
DENND5B	-0.0508	0.444
DENND6A	0.308	0.011
DENND6B	-0.168	0.00744
DENR	-0.245	0.00674
DEPDC1	-2.21	6.77e-07
DEPDC1B	-1.72	6.98e-07
DEPDC4	0.0178	0.168
DEPDC5	-0.105	0.292
DEPDC7	-0.93	0.000619
DEPTOR	3.1	4.09e-08
DERA	-0.259	0.053
DERL1	-0.66	6.47e-07
DERL2	-0.284	0.0075
DERL3	-0.439	0.207
DES	1.96	0.0195
DESI1	-0.466	0.0322
DESI2	-0.503	7.46e-08
DET1	1.22	6.48e-05
DEUP1	0	1
DEXI	0.0428	0.806
DFFA	-0.393	0.0055
DFFB	-0.0484	0.786
DFNA5	-3.35	1.13e-13
DFNB59	0.169	0.336
DGAT1	0.196	0.211
DGAT2	1.63	0.000128
DGCR14	-0.219	0.00103
DGCR2	-0.176	0.0979
DGCR5	-0.0505	0.335
DGCR8	-0.069	0.625
DGKA	-0.0235	0.903
DGKB	-0.00388	0.254
DGKD	0.124	0.572
DGKE	0.00148	0.564
DGKG	-0.0355	0.139
DGKH	-0.497	0.014
DGKI	-0.186	0.319
DGKQ	-0.0387	0.151
DGKZ	-0.166	0.461
DGUOK	-0.681	0.000891
DHCR24	0.91	0.00161
DHCR7	-1.12	0.00141
DHDDS	-0.175	0.0621
DHDH	-0.043	0.159
DHFR2	-0.358	0.0641
DHH	-0.0502	0.362
DHODH	-0.0512	0.581
DHPS	-0.179	0.254
DHRS1	1.68	1.74e-05
DHRS11	1.08	0.000677
DHRS12	0.179	0.000279
DHRS13	0.209	0.369
DHRS2	-0.823	0.00106
DHRS3	0.978	0.000718
DHRS7	-0.284	0.0897
DHRS7B	-0.00865	0.959
DHRS7C	1.9	0.00121
DHRS9	1.45	0.0209
DHTKD1	-0.408	0.0335
DHX15	-0.102	0.353
DHX16	-0.292	0.000559
DHX29	0.151	0.131
DHX30	0.349	0.00892
DHX32	0.0966	0.461
WDR48	-0.513	0.00257
DHX34	-0.114	0.0432
DHX35	-0.609	0.0218
DHX36	-0.615	0.00012
DHX37	-0.389	0.0208
DHX38	-0.314	0.0103
DHX40	0.176	0.194
DHX57	-0.396	0.00897
DHX58	-0.261	0.0992
DHX8	-0.252	0.00304
DHX9	-0.612	0.000367
DIABLO	-0.529	5.83e-05
TRADD	0.312	0.0318
DIAPH2	0.904	8.28e-07
DIAPH3	-1.75	6.5e-07
DICER1	-0.0286	0.92
DIDO1	0.143	0.0636
DIEXF	-0.338	0.0235
DIMT1	0.478	0.00194
DIO1	0	1
DIO2	1.57	4.67e-05
DIO3	0.928	7.18e-06
DIO3OS	0.00374	0.394
DIP2A	-0.0014	0.556
DIP2B	-0.0675	0.617
DIP2C	-0.082	0.658
DIRAS1	-0.000861	0.96
DIRAS2	-0.174	0.34
DIRAS3	2.65	1.1e-08
DIRC1	-0.0468	0.172
DIRC2	0.132	0.449
DIS3	-0.0532	0.675
DIS3L	0.738	0.000125
DIS3L2	0.00148	0.991
DISC1	0.0484	0.355
DISP1	0.797	9.23e-05
DISP2	-0.641	0.0191
RBKS	-0.00077	0.733
DIXDC1	0.187	0.035
DKC1	-0.598	0.00201
DKFZP434I0714	0.0423	0.509
NAALAD2	0.271	0.261
DKFZp566H0824	0.0314	0.0471
DKFZp779M0652	-0.0472	0.619
DKK1	-3.67	1.8e-07
DKK2	1.19	0.00255
DKK3	-0.487	0.0654
DKK4	0.591	0.00984
DKKL1	0.0125	0.737
DLAT	0.658	7.18e-07
DLC1	0.658	0.000689
DLD	0.41	0.00738
DLEC1	0	1
DLEU1	1.09	2.06e-07
DLEU2	-0.0361	0.251
DLG1	0.0587	0.787
DLG2	0.138	0.011
DLG3	0.417	0.0117
DLG4	-0.0444	0.272
DLG5	-0.0765	0.613
DLGAP1	-0.0145	0.0912
DLGAP1-AS1	-0.0294	0.856
DLGAP2	0	1
DLGAP3	-0.0104	0.285
DLGAP4	-0.817	0.00066
DLGAP5	-2.27	5.65e-08
DLK1	4.92	7.28e-09
DLK2	-0.397	0.0768
DLL1	0.223	0.0452
DLL3	-0.00988	0.321
DLL4	-0.0492	0.568
DLST	-0.411	0.0849
DLX1	-0.419	0.0457
DLX2	-0.236	0.0374
DLX3	0.505	0.316
DLX4	0.0983	0.39
DLX5	-0.736	0.0505
DLX6	0.0049	0.757
DMAP1	-0.188	0.356
DMBT1	0.677	0.416
DMBX1	-0.000674	0.762
DMC1	-0.0718	0.217
DMD	0.604	0.00336
DMGDH	0.0785	0.284
DMKN	0.406	0.467
DMP1	0	1
DMPK	0.647	0.0454
DMRT1	-0.64	0.147
DMRT2	-0.503	0.0997
DMRT3	-0.237	0.21
DMRTA1	0.00619	0.334
DMRTA2	-0.288	0.11
DMRTB1	-0.065	0.314
DMRTC2	0	1
DMTF1	0.00792	0.945
DMTN	0.841	7.1e-05
DMWD	-0.0495	0.171
DMXL1	0.94	1.11e-06
DMXL2	-0.718	0.000409
DNA2	-0.851	0.000127
DNAAF1	-0.0823	0.247
DNAAF2	-0.265	0.149
DNAAF3	-0.0721	0.237
DNAAF5	-0.508	0.00162
DNAH1	0	1
DNAH10	-0.00644	0.335
DNAH11	0.0396	0.325
DNAH14	0	1
DNAH17	-0.665	0.00213
DNAH2	-0.0365	0.172
DNAH3	-0.0558	0.31
DNAH5	-4.52	2.37e-06
DNAH7	0	1
DNAH8	-0.00351	0.387
DNAH9	0	1
DNAI1	5.72e-05	0.979
DNAI2	0	1
DNAJA1	-0.557	0.00152
DNAJA2	0.335	0.0119
DNAJA3	-0.228	0.0992
DNAJA4	0.299	0.241
DNAJB1	0.223	0.212
DNAJB11	-1.03	2.03e-07
DNAJB12	0.106	0.157
DNAJB13	0.00444	0.778
DNAJB14	-0.0208	0.91
DNAJB2	-0.74	0.00102
DNAJB4	0.264	0.307
DNAJB5	-0.306	0.283
DNAJB6	0.174	0.393
DNAJB7	-0.0103	0.312
DNAJB8	0.0076	0.167
DNAJB9	0.0324	0.874
DNAJC1	-0.0903	0.464
DNAJC10	-0.612	0.00269
DNAJC11	-0.302	0.0074
DNAJC12	-0.564	0.169
DNAJC13	-0.182	0.0766
DNAJC14	-0.448	0.00135
DNAJC15	0.486	0.0243
DNAJC16	0.153	0.254
DNAJC17	-0.216	0.3
DNAJC18	0.0321	0.708
DNAJC19	0.663	3.57e-05
DNAJC19P9	0.0966	0.519
DNAJC2	-0.291	0.109
DNAJC21	0.331	0.0297
DNAJC22	-0.166	0.0395
DNAJC24	-0.0816	0.564
DNAJC25	0.32	0.0648
DNAJC27	0.203	0.000337
DNAJC28	0.357	0.0168
DNAJC3	-0.339	0.0952
DNAJC30	-0.102	0.306
DNAJC4	0.36	0.0116
DNAJC5	-0.0194	0.904
DNAJC5B	-0.0373	0.0278
DNAJC5G	0.0117	0.338
DNAJC6	-0.016	0.589
DNAJC7	-0.319	0.0834
DNAJC8	-0.105	0.395
DNAL1	-0.58	0.000657
DNAL4	-0.038	0.831
DNALI1	0.173	0.194
FNTB///CHURC1-FNTB	0.0208	0.14
DNASE1L1	0.103	0.607
DNASE1L2	0.111	0.138
DNASE1L3	3.05	1.89e-06
DNASE2	-0.831	2.78e-05
DNASE2B	0.0141	0.971
DNER	-0.91	0.0971
DNHD1	-0.002	0.529
DNLZ	-0.429	0.0575
DNM1	-0.589	0.11
DNM1L	-0.762	1.46e-05
DNM1P46	-0.0278	0.448
DNM2	-0.275	0.105
DNM3	-0.18	0.15
DNMBP	0.486	0.0252
DNMT1	-0.887	1.02e-07
DNMT3A	-0.00155	0.942
DNMT3B	-2.93	5.75e-09
DNMT3L	2e-05	0.992
DNPEP	-0.216	0.11
DNPH1	0.0174	0.893
DNTT	-7e-04	0.754
DNTTIP1	-0.777	0.00105
DNTTIP2	-0.134	0.265
DOC2A	0	1
DOCK1	-0.0823	0.599
DOCK10	0.108	0.758
DOCK11	-0.0389	0.831
DOCK2	0.254	0.52
DOCK3	0.0168	0.587
DOCK4	0.063	0.673
DOCK5	-0.05	0.0681
DOCK6	-0.198	0.144
DOCK7	-0.359	0.00999
DOCK8	-0.12	0.641
DOCK9	0.654	9.23e-07
DOHH	-0.253	0.103
DOK1	-0.294	0.085
DOK2	0.171	0.523
DOK3	-0.00135	0.642
DOK4	0.218	0.0641
DOK5	1.17	0.00105
DOK6	0.021	0.177
DOK7	-0.0536	0.828
DOLK	-0.98	5.05e-07
DOLPP1	-0.48	0.00332
DONSON	-0.893	3.2e-08
DOPEY1	0.38	0.0109
DOPEY2	0.986	0.000526
DOT1L	-0.055	0.273
DPAGT1	-0.052	0.716
DPCD	-0.175	0.318
DPCR1	0.000487	0.823
DPEP1	-0.000121	0.955
DPEP2	-0.16	0.559
DPEP3	0.00625	0.498
DPF1	-0.0955	0.0346
DPF2	-0.211	0.066
DPH2	-0.296	0.0693
DPH3	-0.234	0.218
DPH3P1	0.0371	0.543
DPH5	0.467	0.00257
DPH6	0.238	0.292
DPH7	-0.218	0.0496
DPM1	-0.0917	0.329
DPM2	-1.39	3.56e-07
DPM3	0.352	0.062
DPP10	0	1
DPP10-AS1	-0.0245	0.312
DPP3	-1.27	9.32e-08
DPP4	-0.607	0.0703
DPP6	0	1
DPP7	0.696	0.000296
DPP8	0.221	0.0998
DPP9	-0.313	0.00891
DPPA2	-0.501	0.0949
DPPA4	0	1
DPPA5	-1.08e-05	0.996
DPT	3.4	5.39e-06
DPY19L1	-0.776	1.74e-05
DPY19L2	0.104	0.256
DPY19L4	-0.91	8.65e-08
DPY30	-0.169	0.18
DPYD	0.434	0.0439
DPYS	0.00503	0.315
DPYSL2	1.12	2.56e-08
DPYSL3	-0.152	0.647
DPYSL4	0.00918	0.784
DPYSL5	0	1
DQX1	-0.358	0.0285
DR1	-0.531	0.000356
DRAIC	0.0333	0.11
DRAM1	-0.858	0.00101
DRAM2	0.268	0.0452
DRAP1	-0.659	0.0139
DRAXIN	-0.0207	0.258
DRC1	0.000441	0.872
DRC3	0.0037	0.946
DRC7	0	1
DRD1	0	1
DRD2	0.00266	0.669
DRD3	0	1
DRD4	3.22e-06	0.999
DRD5	0.0153	0.388
DRG1	-0.217	0.0254
DRG2	-0.557	0.0221
DRICH1	0.0124	0.329
DROSHA	-0.404	0.0169
DRP2	0.0211	0.284
DSC1	-1.54	0.0876
DSC2	1.18	0.00377
DSC3	0.245	0.362
DSCAM	0	1
DSCAML1	0	1
DSCC1	-1.35	2.25e-06
DSCR10	-0.00116	0.645
DSCR3	0.127	0.288
DSCR4	0	1
DSCR8	0.163	0.0231
DSCR9	-0.032	0.279
DSE	-0.968	1.46e-07
DSEL	0.0846	0.354
DSG1	2.63	0.00372
DSG2	-3.74	2.1e-09
DSG3	0.956	0.000499
DSN1	-1.68	8.67e-07
DSP	0.447	0.0106
DSPP	0.0516	0.173
DST	0.0516	0.673
DSTN	0.0397	0.627
DSTYK	0.191	0.0223
DTD1	-0.357	0.0406
DTD2	-0.535	0.00137
DTL	-2.21	3.8e-08
DTNA	0.279	0.0868
DTNB	0.0385	0.543
DTNBP1	0.158	0.176
DTWD1	0.508	5.18e-05
DTX1	0.0836	0.428
DTX2	-0.102	0.509
DTX2P1-UPK3BP1-PMS2P11	0.372	0.0558
DTX3	0	1
DTX4	-0.497	0.0477
DTYMK	-1.4	2.58e-09
DUOX1	2.97	4.21e-09
DUOX2	2.07	7.63e-05
DUOXA1	0.455	0.0139
DUOXA2	0.544	0.00937
DUS1L	-0.0232	0.863
DUS2	-0.391	0.000762
DUS3L	-0.0151	0.941
DUS4L	-0.63	0.00815
DUSP1	1.39	0.00014
DUSP10	-1.27	0.00024
DUSP11	-0.337	0.0442
DUSP12	-0.305	0.0121
DUSP13	2.37	1.11e-05
DUSP14	-0.739	0.00508
DUSP15	0.011	0.855
DUSP16	0.049	0.701
DUSP18	-0.433	0.00689
DUSP19	0.0255	0.148
DUSP2	0.441	0.284
DUSP21	0	1
DUSP22	0.985	2.61e-08
DUSP23	0.368	0.0421
DUSP26	1.54	0.00106
DUSP27	1.76	0.00276
DUSP28	0.797	0.000239
DUSP3	-0.192	0.351
DUSP4	-0.702	0.0248
DUSP5	1.35	0.000111
DUSP6	-0.801	0.00149
DUSP7	-1.07	0.0163
DUSP8	0.0259	0.342
DUSP9	-0.323	0.0218
DUT	-0.141	0.24
DVL1	0.0137	0.903
DVL2	-0.0788	0.516
DVL3	-0.827	2.85e-05
DXO	0.0511	0.569
DYDC1	-0.00348	0.387
DYDC2	0	1
DYM	0.496	3.79e-05
DYNC1H1	-0.395	0.000294
DYNC1I1	0.178	0.344
DYNC1LI1	0.0766	0.507
DYNC1LI2	-0.224	0.0115
DYNC2H1	-0.552	0.0937
DYNC2LI1	0.255	0.0558
DYNLL1	0.0954	0.131
DYNLL2	-0.233	0.375
DYNLRB1	-0.163	0.241
DYNLRB2	0.406	0.0122
DYNLT1	-0.0579	0.478
DYNLT3	0.858	6.89e-06
DYRK1A	0.0283	0.13
DYRK1B	0.0279	0.803
DYRK2	-0.829	7.25e-08
DYRK3	-0.834	4.21e-05
DYRK4	-0.0468	0.764
DYSF	-0.325	0.179
DYX1C1	-0.249	0.207
DZANK1	-0.0295	0.136
DZIP1	-0.519	0.0257
DZIP1L	-0.247	0.165
DZIP3	0.442	0.0454
E2F1	-0.168	0.0604
E2F2	-0.0233	0.332
E2F3	-0.752	0.00129
E2F4	-0.013	0.309
E2F5	-0.09	0.716
E2F7	-1.6	1.77e-06
E2F8	0.317	0.209
E4F1	-0.301	0.0288
EAF1	0.0331	0.819
EAF2	-0.787	0.0491
EAPP	0.0612	0.526
EARS2	-0.417	0.00567
EBAG9	-0.0912	0.347
EBF1	1.34	9.15e-05
EBF2	0.496	0.0338
EBF3	0.611	0.00607
EBF4	0.0646	0.0456
EBI3	0.12	0.265
EBLN2	0.49	0.00982
EBNA1BP2	-0.807	0.00012
EBP	-0.197	0.295
ECD	0.0449	0.72
ECE1	-0.149	0.326
ECE2	-0.0778	0.0158
ECEL1	0.0335	0.192
ECH1	0.589	0.000505
ECHDC1	-0.43	0.000799
ECHDC2	2.47	4.24e-09
ECHDC3	2.25	0.000323
ECHS1	0.345	0.00175
ECI1	0.314	0.0392
ECI2	0.204	0.351
ECM1	1.63	0.000367
ECM2	1.01	0.0125
ECRP	0.00817	0.345
ECSIT	0.187	0.387
ECT2	-2.19	1.49e-11
EDA	0	1
EDA2R	0.0215	0.11
EDAR	0.211	0.0175
EDARADD	-0.258	0.011
EDC3	-0.298	0.00232
EDC4	-0.18	0.166
EDDM3A	0	1
EDDM3B	3.79e-05	0.986
EDEM1	-0.293	0.0437
EDEM2	-0.842	2.88e-05
EDEM3	-0.413	0.0165
EDF1	0.0821	0.349
EDIL3	-0.584	0.00823
EDN1	0.233	0.383
EDN2	0.0703	0.788
EDN3	0.0299	0.406
EDNRA	-0.971	0.00126
EDNRB	2.03	3.01e-08
EDRF1	0.0317	0.811
EEA1	0.671	6.45e-06
EED	0.0407	0.746
EEF1A1	1.47	2.58e-10
EEF1A2	2.95	0.000383
RPA4	0.641	0.000243
EEF1D	-0.0237	0.855
EEF1E1	-0.266	0.11
EEF2	0.275	0.0324
EEF2K	0.607	0.00129
EEFSEC	-0.138	0.0496
EEPD1	-0.00146	0.795
EFCAB1	-0.102	0.18
EFCAB11	-0.841	0.00299
EFCAB12	1.72e-07	1
EFCAB13	0.000131	0.951
EFCAB14	0.132	0.224
EFCAB2	0.128	0.573
EFCAB5	0	1
EFCAB6	0.000148	0.945
EFCAB7	0.835	0.00286
EFCAB8	0.21	0.532
EFCC1	0.0114	0.0284
EFEMP1	0.867	0.00233
EFEMP2	-0.182	0.513
EFHB	-0.0241	0.606
EFHC1	-0.163	0.21
EFHC2	0.0495	0.0345
EFHD1	1.74	1.05e-06
EFHD2	-0.902	0.0011
EFL1	0.00629	0.964
EFNA1	-0.919	0.000408
EFNA2	0	1
EFNA3	0.607	0.0269
EFNA4	-0.0141	0.923
EFNA5	-0.000176	0.934
EFNB1	-1.26	1.8e-08
EFNB2	-0.536	0.00781
EFNB3	0.0459	0.322
EFR3A	-0.429	4.97e-07
EFS	0.616	0.0202
EFTUD2	-0.605	3.08e-06
EGF	1.09	0.0218
EGFL6	-2.04	0.000157
EGFL7	1.03	0.00456
EGFL8	1.18	1.94e-06
EGFLAM	0.0796	0.674
EGFR	-0.35	0.0299
EGLN1	0.16	0.28
EGLN2	-0.0128	0.758
EGLN3	-2.24	2.05e-06
EGR1	1.46	0.00181
EGR2	0.42	0.438
EGR3	0.98	0.0483
EGR4	-0.0719	0.354
EHBP1	0.282	0.0566
EHBP1L1	-0.291	0.274
EHD1	-0.545	0.00206
EHD2	-0.644	0.00153
EHD3	1.2	0.00044
EHD4	-0.39	0.0584
EHF	1.97	1.73e-05
EHHADH	-0.778	0.00126
EHMT1	-0.18	0.00612
EHMT2	-0.167	0.0807
EI24	0.297	0.035
EID1	0.247	0.0631
EID2	-0.0849	0.495
