ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1167_s_at	4.45e-02	2.16e-02	2.3595579	-4.033932	0.34609912	MMP15	matrix metallopeptidase 15
36535_at	4.45e-02	2.16e-02	-2.3595163	-4.034022	-0.34437941	MFAP1	microfibrillar associated protein 1
36514_at	4.46e-02	2.16e-02	2.3583588	-4.036521	0.51048531	CGRRF1	cell growth regulator with ring finger domain 1
41786_at	4.46e-02	2.17e-02	2.3576203	-4.038115	0.35954519	IAH1	isoamyl acetate-hydrolyzing esterase 1 homolog
38582_at	4.47e-02	2.17e-02	2.3575099	-4.038353	0.54702556	SPINK1	serine peptidase inhibitor, Kazal type 1
407_at	4.47e-02	2.17e-02	2.3573686	-4.038658	0.65242808	PTPRB	protein tyrosine phosphatase, receptor type B
34959_at	4.47e-02	2.17e-02	2.3573553	-4.038686	0.80860207	FCER2	Fc fragment of IgE receptor II
32871_at	4.47e-02	2.17e-02	2.3566723	-4.04016	0.38631511		
41483_s_at	4.47e-02	2.17e-02	2.3566719	-4.040161	0.40801892	JUND	JunD proto-oncogene, AP-1 transcription factor subunit
AFFX-BioB-M_st	4.47e-02	2.17e-02	2.3564542	-4.04063	0.52217122		
33258_g_at	4.47e-02	2.17e-02	2.3564412	-4.040659	0.2870592	DLST	dihydrolipoamide S-succinyltransferase
33286_at	4.47e-02	2.17e-02	2.3563638	-4.040825	0.45175966	ENDOG	endonuclease G
317_at	4.48e-02	2.18e-02	-2.3557946	-4.042053	-0.39350981	LGMN	legumain
33730_at	4.49e-02	2.18e-02	-2.3545621	-4.044711	-0.63638736	GPRC5A	G protein-coupled receptor class C group 5 member A
1791_s_at	4.50e-02	2.19e-02	2.3538093	-4.046333	0.84541348	IFNA2	interferon alpha 2
36346_at	4.50e-02	2.19e-02	2.3535253	-4.046945	0.56779878	RGR	retinal G protein coupled receptor
34349_at	4.50e-02	2.19e-02	-2.3535082	-4.046982	-0.28504537	SEC63	SEC63 homolog, protein translocation regulator
31599_f_at	4.52e-02	2.20e-02	-2.3512754	-4.051792	-1.24634219	MAGEA6///MAGEA3	MAGE family member A6///MAGE family member A3
41757_at	4.53e-02	2.20e-02	-2.3510048	-4.052374	-0.38601387	VAPB	VAMP associated protein B and C
32439_at	4.53e-02	2.21e-02	2.3504589	-4.05355	0.78208754	ATP4B	ATPase H+/K+ transporting beta subunit
1289_at	4.53e-02	2.21e-02	2.3503814	-4.053716	0.47428475	GSTM5	glutathione S-transferase mu 5
40780_at	4.54e-02	2.21e-02	-2.3500573	-4.054414	-0.33643339	CTBP2	C-terminal binding protein 2
33857_at	4.54e-02	2.21e-02	2.3497873	-4.054995	0.3699624	NSFL1C	NSFL1 cofactor
32503_at	4.54e-02	2.21e-02	2.3495789	-4.055443	0.5432747	SNX27	sorting nexin family member 27
34582_at	4.55e-02	2.21e-02	2.3488073	-4.057104	0.59905613	SLC1A2	solute carrier family 1 member 2
400_at	4.56e-02	2.22e-02	2.347968	-4.058909	0.74559206	PDX1	pancreatic and duodenal homeobox 1
1492_f_at	4.56e-02	2.22e-02	2.3476293	-4.059637	0.47963403	CYP2A7	cytochrome P450 family 2 subfamily A member 7
34014_f_at	4.56e-02	2.22e-02	2.3475292	-4.059853	0.67226333	POU1F1	POU class 1 homeobox 1
37778_at	4.56e-02	2.22e-02	-2.3474541	-4.060014	-0.72918024	KIN	Kin17 DNA and RNA binding protein
36384_at	4.56e-02	2.22e-02	2.3474012	-4.060128	0.52003751	BAAT	bile acid-CoA:amino acid N-acyltransferase
40933_f_at	4.56e-02	2.22e-02	2.347303	-4.060339	0.89468689	ZDHHC18	zinc finger DHHC-type containing 18
32886_at	4.56e-02	2.22e-02	2.3469069	-4.061191	0.39145731	GCGR	glucagon receptor
41046_s_at	4.57e-02	2.23e-02	2.345784	-4.063604	0.33568865	ZMYM3	zinc finger MYM-type containing 3
41820_s_at	4.60e-02	2.24e-02	2.3436341	-4.068223	0.59501059	CDK13	cyclin dependent kinase 13
38511_at	4.61e-02	2.25e-02	2.342884	-4.069833	1.07817944	ZNF529	zinc finger protein 529
41326_at	4.61e-02	2.25e-02	2.3422697	-4.071152	0.44131117	KCNK3	potassium two pore domain channel subfamily K member 3
40632_at	4.61e-02	2.25e-02	2.3420413	-4.071642	0.47987121	SEPT5-GP1BB	SEPT5-GP1BB readthrough
40900_at	4.62e-02	2.25e-02	-2.3416561	-4.072469	-0.98892717	MYH10	myosin, heavy chain 10, non-muscle
40261_at	4.62e-02	2.25e-02	2.3415566	-4.072682	0.49119699	RBFOX2	RNA binding protein, fox-1 homolog 2
35568_at	4.62e-02	2.26e-02	2.3410766	-4.073712	0.63354028	ADCYAP1R1	ADCYAP receptor type I
1193_at	4.62e-02	2.26e-02	2.3408767	-4.074141	0.34233217	UBE3A	ubiquitin protein ligase E3A
39182_at	4.63e-02	2.26e-02	-2.3402492	-4.075487	-0.59359362	EMP3	epithelial membrane protein 3
38648_at	4.63e-02	2.26e-02	-2.3399754	-4.076075	-0.34552915	ZNF384	zinc finger protein 384
37742_at	4.64e-02	2.27e-02	-2.339609	-4.07686	-0.38073025	TMPPE///GLB1	transmembrane protein with metallophosphoesterase domain///galactosidase beta 1
31385_at	4.64e-02	2.27e-02	-2.3394988	-4.077097	-0.24572545	MIR6805///RPL28	microRNA 6805///ribosomal protein L28
36571_at	4.64e-02	2.27e-02	2.3391335	-4.07788	0.22183995	TOP2B	topoisomerase (DNA) II beta
41190_at	4.64e-02	2.27e-02	2.3389913	-4.078185	0.32915569	TNFRSF25	TNF receptor superfamily member 25
39046_at	4.64e-02	2.27e-02	2.3387007	-4.078808	0.37670952	H2AFV	H2A histone family member V
37791_at	4.65e-02	2.27e-02	2.3379252	-4.08047	0.75821698		
38162_at	4.65e-02	2.28e-02	2.3375772	-4.081216	0.62972342	RIMS2	regulating synaptic membrane exocytosis 2
31618_at	4.66e-02	2.28e-02	2.3369359	-4.08259	0.71877392	TP53	tumor protein p53
33257_at	4.66e-02	2.28e-02	2.3368427	-4.082789	0.67407064	DLST	dihydrolipoamide S-succinyltransferase
33486_at	4.66e-02	2.28e-02	2.3365503	-4.083416	0.82724956		
40552_s_at	4.67e-02	2.28e-02	2.3360911	-4.084399	0.37263748		
35456_r_at	4.68e-02	2.29e-02	2.3351289	-4.086459	0.6769677	ZNF197	zinc finger protein 197
38714_at	4.68e-02	2.29e-02	2.3351004	-4.08652	0.66364982	GYPA	glycophorin A (MNS blood group)
38250_at	4.69e-02	2.29e-02	-2.3343839	-4.088054	-0.2923864	WDR43	WD repeat domain 43
41108_at	4.69e-02	2.30e-02	2.3339801	-4.088918	0.26289132	GTPBP6	GTP binding protein 6 (putative)
40271_at	4.69e-02	2.30e-02	-2.3335229	-4.089897	-0.24945938	NUP93	nucleoporin 93
37398_at	4.70e-02	2.30e-02	2.3330615	-4.090884	0.55562311	PECAM1	platelet and endothelial cell adhesion molecule 1
37949_at	4.70e-02	2.30e-02	2.3329233	-4.09118	0.60923452	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide
922_at	4.70e-02	2.30e-02	-2.3325425	-4.091994	-0.36670945	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha
33498_at	4.71e-02	2.31e-02	2.3320031	-4.093148	0.52566156	REG1CP	regenerating family member 1 gamma, pseudogene
39715_at	4.71e-02	2.31e-02	-2.331825	-4.093529	-0.63179545	CBX5	chromobox 5
33252_at	4.71e-02	2.31e-02	-2.3313773	-4.094486	-0.49995712	MCM3	minichromosome maintenance complex component 3
35223_at	4.71e-02	2.31e-02	-2.3313328	-4.094581	-0.47503122	HPS5	HPS5, biogenesis of lysosomal organelles complex 2 subunit 2
612_s_at	4.71e-02	2.31e-02	-2.3312547	-4.094748	-0.36134601	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase
36831_at	4.72e-02	2.31e-02	2.3309497	-4.0954	0.69595097	DSTYK	dual serine/threonine and tyrosine protein kinase
32862_at	4.72e-02	2.31e-02	2.3308994	-4.095508	0.63855827	RASA3	RAS p21 protein activator 3
930_at	4.73e-02	2.32e-02	2.3295767	-4.098335	0.79545233	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha
33425_at	4.75e-02	2.33e-02	-2.3282854	-4.101093	-0.37885736	TRIM28	tripartite motif containing 28
35470_at	4.75e-02	2.33e-02	2.327717	-4.102307	0.65734681	HTR2A	5-hydroxytryptamine receptor 2A
1340_s_at	4.75e-02	2.33e-02	2.3276887	-4.102367	0.82818284	HGF	hepatocyte growth factor
32760_at	4.75e-02	2.33e-02	2.3276603	-4.102428	0.65178029	SEMG1	semenogelin I
514_at	4.75e-02	2.33e-02	-2.3276297	-4.102493	-0.40092428	CBLB	Cbl proto-oncogene B
33229_at	4.75e-02	2.33e-02	2.327456	-4.102864	0.32828687	RPS6KA3	ribosomal protein S6 kinase A3
38053_s_at	4.75e-02	2.33e-02	2.3271687	-4.103478	0.2993361	BRE	brain and reproductive organ-expressed (TNFRSF1A modulator)
31317_r_at	4.75e-02	2.33e-02	2.327161	-4.103494	0.46820503	SKAP2///IGHG1	src kinase associated phosphoprotein 2///immunoglobulin heavy constant gamma 1 (G1m marker)
33527_at	4.75e-02	2.34e-02	2.3271328	-4.103554	1.0002672	KCNJ3	potassium voltage-gated channel subfamily J member 3
40320_at	4.75e-02	2.34e-02	2.3268918	-4.104069	0.63758135	CDC14A	cell division cycle 14A
36265_at	4.76e-02	2.34e-02	2.32662	-4.104649	0.61898798	TBC1D30	TBC1 domain family member 30
602_s_at	4.76e-02	2.34e-02	2.3263561	-4.105212	0.70851165	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1
32745_at	4.76e-02	2.34e-02	2.3263535	-4.105218	0.42046185	MRPL40	mitochondrial ribosomal protein L40
34562_at	4.76e-02	2.34e-02	2.3263044	-4.105323	0.78606998	ZBTB6	zinc finger and BTB domain containing 6
31667_r_at	4.76e-02	2.34e-02	2.3261414	-4.10567	0.55379944	NR2E3	nuclear receptor subfamily 2 group E member 3
32189_g_at	4.77e-02	2.34e-02	2.3255645	-4.106901	0.68075976	MYT1	myelin transcription factor 1
32316_s_at	4.77e-02	2.35e-02	-2.3252745	-4.10752	-0.42025331	HSP90AA1	heat shock protein 90 alpha family class A member 1
36354_at	4.77e-02	2.35e-02	2.3252528	-4.107566	0.68228051	TNN	tenascin N
33287_at	4.77e-02	2.35e-02	-2.3250073	-4.10809	-0.49685345	SPOUT1	SPOUT domain containing methyltransferase 1
38027_at	4.77e-02	2.35e-02	2.3249528	-4.108206	0.49037832	FBLN1	fibulin 1
35547_at	4.77e-02	2.35e-02	2.3247797	-4.108576	0.68944112	SLC16A7	solute carrier family 16 member 7
38259_at	4.77e-02	2.35e-02	-2.3247348	-4.108671	-0.65800794	STXBP2	syntaxin binding protein 2
836_at	4.77e-02	2.35e-02	2.3247258	-4.108691	0.59191382	PTCH1	patched 1
33526_at	4.77e-02	2.35e-02	2.3243198	-4.109556	0.63103458	NPY2R	neuropeptide Y receptor Y2
31765_at	4.77e-02	2.35e-02	2.3243096	-4.109578	0.7639543	DOCK10	dedicator of cytokinesis 10
34560_at	4.80e-02	2.37e-02	2.3218424	-4.114838	0.49251519	S100A5	S100 calcium binding protein A5
40815_g_at	4.80e-02	2.37e-02	-2.3217861	-4.114958	-0.29912054	IDS	iduronate 2-sulfatase
34471_at	4.80e-02	2.37e-02	2.3217854	-4.114959	1.1313431	MYH8	myosin heavy chain 8
37951_at	4.80e-02	2.37e-02	2.3216003	-4.115354	0.46252646	DLC1	DLC1 Rho GTPase activating protein
990_at	4.80e-02	2.37e-02	2.3214657	-4.11564	0.75631988	FLT1	fms related tyrosine kinase 1
38139_at	4.81e-02	2.37e-02	-2.3207292	-4.117209	-0.38951388	FPGT	fucose-1-phosphate guanylyltransferase
34076_at	4.81e-02	2.37e-02	2.3203276	-4.118065	0.41705671		
