Updated.gene.symbol	logFC	P.Value
AGPS	-0.39119703	0.00601
AGR2	1.84349862	0.00211
AGRN	-0.85249679	3.51e-05
AGRP	0.46566765	0.00289
AGT	1.72058537	1.98e-05
AGTPBP1	1.41537474	3.01e-05
AGTR1	2.38919344	5.53e-10
AGTR2	0.12403873	0.725
AGXT	-0.62524018	0.0206
AHCTF1	-0.00185113	0.99
AHCY	-0.41908485	0.00642
AHCYL1	0.4541112	0.00824
AHCYL2	0.28156853	0.255
AHDC1	0.4125016	0.0136
AHNAK	0.00583403	0.969
AHNAK2	-2.20397589	1.53e-07
AHR	-0.90338565	3.61e-06
AHSA1	-0.21508049	0.0289
AHSA2	0.85293826	0.00116
AHSG	0.86176442	0.00522
AIF1	0.76535672	0.000598
AIFM1	0.27705399	0.0155
AIM1	-1.29205432	0.00629
AIM2	-2.1209973	1.71e-09
AIMP1	0.12883839	0.425
AIMP2	0.32052877	0.0885
AIP	0.04408074	0.752
AIPL1	0.51382978	0.0662
AIRE	0.52621836	0.0514
AJAP1	-0.93659065	0.0328
AK1	0.79352748	0.00498
AK2	-1.00201164	4.37e-07
AK6///TAF9	-0.3745538	0.0106
AKAP1	1.21100254	1.92e-09
AKAP10	-0.60508215	0.00931
AKAP11	0.05866789	0.7
AKAP12	0.94260509	9.62e-05
AKAP13	0.55000266	2e-04
AKAP17A	-0.30811058	0.119
AKAP3	0.63602111	0.00054
AKAP4	0.66077932	0.0057
AKAP5	0.15901285	0.661
AKAP6	1.23793517	0.000155
AKAP8	0.1161694	0.388
AKAP8L	-0.00613226	0.971
AKAP9	0.69817366	0.000572
AKIRIN2	0.06701464	0.798
AKR1A1	-0.33896262	0.0362
AKR1B1	0.72533723	0.00592
AKR1B10	-1.63818354	4.96e-05
AKR1C3	-0.62145839	0.124
AKR1C4	0.37479738	0.191
AKR1D1	0.76795514	0.0114
AKR7A2	0.09824349	0.306
AKR7A3	1.24054258	0.000262
AKT1	-0.21699054	0.0676
AKT2	0.45232579	0.026
AKT3	0.65328803	0.0208
ALAD	0.12978446	0.544
ALAS1	0.13015911	0.501
ALAS2	0.62836644	6.29e-05
ALB	1.11188836	0.00658
ALCAM	-0.38446923	0.207
ALDH1A1	2.94936505	3.48e-09
ALDH1A3	0.32965667	0.268
ALDH1B1	0.63861507	0.0409
ALDH1L1	2.83863608	1.62e-13
ALDH2	1.01807309	6.59e-06
ALDH3A1	0.64842329	0.152
ALDH3A2	0.9819933	1.77e-06
ALDH3B1	0.04995245	0.873
ALDH3B2	-1.69155563	1.56e-05
ALDH4A1	0.62808807	0.000638
ALDH5A1	1.79603426	2.46e-05
ALDH6A1	2.23307376	6.2e-10
ALDH7A1	-0.2287497	0.366
ALDH9A1	0.56110873	0.00031
ALDOA	0.9746337	0.000295
ALDOB	0.37301128	0.247
ALDOC	0.45420815	0.00854
ALG11///UTP14C	0.50827461	0.000555
ALG13	0.9186256	0.0117
ALG3	-0.30424984	0.013
ALG8	-0.77762911	2.55e-06
ALK	0.91301748	0.00318
ALKBH1	0.17063638	0.167
ALMS1	-0.75399243	0.00243
ALOX12	0.97795155	0.00133
ALOX12B	-0.62262582	0.127
ALOX12P2	0.17211344	0.385
ALOX15	0.8603386	0.00487
ALOX15B	-0.07006604	0.824
ALOX5	0.38811738	0.0691
ALOX5AP	-0.18690597	0.523
ALPI	0.35245897	0.101
ALPK3	1.13663673	5.62e-07
ALPL	0.43184052	0.0859
ALPPL2	0.74144787	2.96e-05
ALX1	0.86224869	0.00385
ALX3	0.58107988	0.00607
AMBP	0.3688105	0.041
AMD1	-1.09366348	1.86e-07
AMELX	0.968121	0.00222
AMELY	0.73423452	0.00163
AMFR	0.36159539	0.00549
AMH	0.53618377	0.00286
AMHR2	1.28725407	3.3e-06
AMIGO2	-0.42845508	0.012
AMMECR1	-0.28034728	0.169
AMOT	2.6213004	1.62e-10
AMOTL2	0.19039404	0.169
AMPD1	3.30265274	4.63e-09
AMPD2	-0.21089435	0.067
AMPD3	-0.11916099	0.45
